canonical_id,alias,norm_alias,match_method,confidence
entity:artifacttype:stand-decorative-arts,Stand; Decorative arts,stand decorative arts,norm_label,1.0
entity:artifacttype:stereoview-stereograph,stereoview; stereograph,stereoview stereograph,norm_label,1.0
entity:artifacttype:t-shirts-jackets-trousers,T-shirts; jackets; Trousers,t-shirts jackets trousers,norm_label,1.0
entity:artifacttype:table-frontal-textiles,Table frontal; Textiles,table frontal textiles,norm_label,1.0
entity:artifacttype:tablets,Tablets,tablets,norm_label,1.0
entity:artifacttype:tableware-design-drawings-drawings,Tableware; Design drawings; Drawings,tableware design drawings drawings,norm_label,1.0
entity:artifacttype:tableware-design-drawings-prints,Tableware; Design drawings; Prints,tableware design drawings prints,norm_label,1.0
entity:artifacttype:teabowl-bowl-tea,"teabowl; bowl, tea",teabowl bowl tea,norm_label,1.0
entity:artifacttype:textile-arts,Textile Arts,textile arts,norm_label,1.0
entity:artifacttype:textile-fragment-textiles,Textile fragment; Textiles,textile fragment textiles,norm_label,1.0
entity:artifacttype:textile-fragments-textiles,Textile fragments; Textiles,textile fragments textiles,norm_label,1.0
entity:artifacttype:textiles,Textiles,textiles,norm_label,1.0
entity:artifacttype:theater-programs,Theater programs,theater programs,norm_label,1.0
entity:artifacttype:theater-programs-tickets,Theater programs; Tickets,theater programs tickets,norm_label,1.0
entity:artifacttype:tools-and-equipment,Tools and equipment,tools and equipment,norm_label,1.0
entity:artifacttype:trim-textiles,Trim; Textiles,trim textiles,norm_label,1.0
entity:artifacttype:unclassified,Unclassified,unclassified,norm_label,1.0
entity:artifacttype:uncut-waistcoat-front-embroidery-visual-works,Uncut waistcoat front; Embroidery (visual works),uncut waistcoat front embroidery visual works,norm_label,1.0
entity:artifacttype:valances-embroidery-visual-works,Valances; Embroidery (visual works),valances embroidery visual works,norm_label,1.0
entity:artifacttype:valances-textiles,Valances; Textiles,valances textiles,norm_label,1.0
entity:artifacttype:vessels,Vessels,vessels,norm_label,1.0
entity:artifacttype:vessels-containers,Vessels (containers),vessels containers,norm_label,1.0
entity:artifacttype:vests-garments-vest-girls-main-garments-girl,"Vests (garments); vest, girl's; Main garments; Girl",vests garments vest girls main garments girl,norm_label,1.0
entity:artifacttype:wall-coverings,Wall coverings,wall coverings,norm_label,1.0
entity:artifacttype:weapons-and-ammunition,Weapons and Ammunition,weapons and ammunition,norm_label,1.0
entity:artifacttype:weapons-armor-protective-wear,Weapons; Armor (protective wear),weapons armor protective wear,norm_label,1.0
entity:artifacttype:window-shade-and-cornice-wall-coverings,Window shade and cornice; Wall coverings,window shade and cornice wall coverings,norm_label,1.0
