canonical_id,entity_type,label,norm_label,uri,external_id,source_count
entity:artifacttype:devotional-sculpture-decorative-arts,ArtifactType,devotional sculpture; Decorative arts,devotional sculpture decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/devotional-sculpture-decorative-arts,,1
entity:artifacttype:devotional-sculpture-sculpture-decorative-arts,ArtifactType,devotional sculpture; Sculpture; Decorative arts,devotional sculpture sculpture decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/devotional-sculpture-sculpture-decorative-arts,,3
entity:artifacttype:dinner-services,ArtifactType,dinner services,dinner services,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/dinner-services,,7
entity:artifacttype:dish-shell,ArtifactType,"Dish, Shell",dish shell,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/dish-shell,,4
entity:artifacttype:dishes-vessels,ArtifactType,Dishes (vessels),dishes vessels,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/dishes-vessels,,5
entity:artifacttype:drawings,ArtifactType,Drawings,drawings,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/drawings,,175
entity:artifacttype:drawings-watercolors,ArtifactType,Drawings / Watercolors,drawings / watercolors,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/drawings-watercolors,,1
entity:artifacttype:dress-3-piece,ArtifactType,"Dress, 3-Piece",dress 3-piece,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/dress-3-piece,,1
entity:artifacttype:dress-fragment-textiles,ArtifactType,Dress fragment; Textiles,dress fragment textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/dress-fragment-textiles,,1
entity:artifacttype:dress-panels-textiles,ArtifactType,Dress panels; Textiles,dress panels textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/dress-panels-textiles,,1
entity:artifacttype:dresses-garments-jackets,ArtifactType,Dresses (garments); jackets,dresses garments jackets,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/dresses-garments-jackets,,1
entity:artifacttype:edge-panel-textiles,ArtifactType,Edge panel; Textiles,edge panel textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/edge-panel-textiles,,1
entity:artifacttype:embroidery-visual-works,ArtifactType,Embroidery (visual works),embroidery visual works,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/embroidery-visual-works,,25
entity:artifacttype:embroidery-visual-works-borders-ornament-areas,ArtifactType,Embroidery (visual works); Borders (ornament areas),embroidery visual works borders ornament areas,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/embroidery-visual-works-borders-ornament-areas,,3
entity:artifacttype:embroidery-visual-works-panel-fragment,ArtifactType,Embroidery (visual works); Panel fragment,embroidery visual works panel fragment,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/embroidery-visual-works-panel-fragment,,3
entity:artifacttype:embroidery-visual-works-sleeve-band,ArtifactType,Embroidery (visual works); Sleeve band,embroidery visual works sleeve band,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/embroidery-visual-works-sleeve-band,,4
entity:artifacttype:embroidery-visual-works-sleeve-bands,ArtifactType,Embroidery (visual works); Sleeve bands,embroidery visual works sleeve bands,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/embroidery-visual-works-sleeve-bands,,5
entity:artifacttype:embroidery-visual-works-textiles,ArtifactType,Embroidery (visual works); Textiles,embroidery visual works textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/embroidery-visual-works-textiles,,3
entity:artifacttype:enamels-visual-works-decorative-arts-plate,ArtifactType,Enamels (visual works); Decorative arts; Plate,enamels visual works decorative arts plate,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/enamels-visual-works-decorative-arts-plate,,1
entity:artifacttype:enamels-visual-works-decorative-arts-vases,ArtifactType,Enamels (visual works); Decorative arts; Vases,enamels visual works decorative arts vases,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/enamels-visual-works-decorative-arts-vases,,1
entity:artifacttype:envelopes-theater-programs,ArtifactType,Envelopes; Theater programs,envelopes theater programs,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/envelopes-theater-programs,,1
entity:artifacttype:eyeglass-cases-embroidery-visual-works,ArtifactType,Eyeglass cases; Embroidery (visual works),eyeglass cases embroidery visual works,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/eyeglass-cases-embroidery-visual-works,,1
entity:artifacttype:felt-textile-ceremonial-objects-rugs-mosen-textiles,ArtifactType,Felt (textile); Ceremonial objects; Rugs; Mosen; Textiles,felt textile ceremonial objects rugs mosen textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/felt-textile-ceremonial-objects-rugs-mosen-textiles,,1
entity:artifacttype:figures-representations-drawings,ArtifactType,Figures (representations); Drawings,figures representations drawings,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/figures-representations-drawings,,4
entity:artifacttype:figures-representations-prints,ArtifactType,Figures (representations); Prints,figures representations prints,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/figures-representations-prints,,1
