artifact_id,museum_id,object_id,title
entity:artifact:1:ld1-1643390182193-1643390186610-0,1,ld1-1643390182193-1643390186610-0,Resting under willows
entity:artifact:1:ld1-1643390182193-1643390186611-0,1,ld1-1643390182193-1643390186611-0,Pavilion on a wooded promontory
entity:artifact:1:ld1-1643390182193-1643390186615-1,1,ld1-1643390182193-1643390186615-1,A Bird hovering over blossoming branches
entity:artifact:1:ld1-1643390182193-1643390186616-0,1,ld1-1643390182193-1643390186616-0,Bees hovering over flowers
entity:artifact:1:ld1-1643390182193-1643390186617-0,1,ld1-1643390182193-1643390186617-0,Quail and flowers
entity:artifact:1:ld1-1643390182193-1643390186618-0,1,ld1-1643390182193-1643390186618-0,Two mice and a melon vine
entity:artifact:1:ld1-1643390182193-1643390186619-0,1,ld1-1643390182193-1643390186619-0,Red Blossom
entity:artifact:1:ld1-1643390182193-1643390186620-0,1,ld1-1643390182193-1643390186620-0,A blackbird on a branch; autumn leaves
entity:artifact:1:ld1-1643390182193-1643390186621-0,1,ld1-1643390182193-1643390186621-0,Two birds swinging on a branch of bamboo
entity:artifact:1:ld1-1643390182193-1643390186621-1,1,ld1-1643390182193-1643390186621-1,Two crested birds on a branch; autumn leaves
entity:artifact:1:ld1-1643390182193-1643390186622-0,1,ld1-1643390182193-1643390186622-0,Boating to Red Cliff
entity:artifact:1:ld1-1643390182193-1643390186623-0,1,ld1-1643390182193-1643390186623-0,Five trees on a rocky promontory
entity:artifact:1:ld1-1643390182193-1643390186628-0,1,ld1-1643390182193-1643390186628-0,Way-station and travelers
entity:artifact:1:ld1-1643390182193-1643390186632-0,1,ld1-1643390182193-1643390186632-0,Mounted huntsman leading a dog
entity:artifact:1:ld1-1643390182193-1643390186635-0,1,ld1-1643390182193-1643390186635-0,Mountain village
entity:artifact:1:ld1-1643390182193-1643390186638-0,1,ld1-1643390182193-1643390186638-0,Birds and pines
entity:artifact:1:ld1-1643390182193-1643390186640-0,1,ld1-1643390182193-1643390186640-0,Two travelers in the rain
entity:artifact:1:ld1-1643390182193-1643390186641-0,1,ld1-1643390182193-1643390186641-0,Mounted traveler and servant bearing a zither
entity:artifact:1:ld1-1643390182193-1643390186642-0,1,ld1-1643390182193-1643390186642-0,"Island, sun, and flying swallows"
entity:artifact:1:ld1-1643390182193-1643390186645-0,1,ld1-1643390182193-1643390186645-0,Twenty-four landscapes
