museum_id,object_id,artifact_id
1,ld1-1643390182193-1643390188008-0,entity:artifact:1:ld1-1643390182193-1643390188008-0
1,ld1-1643390182193-1643390191091-0,entity:artifact:1:ld1-1643390182193-1643390191091-0
1,ld1-1643390182193-1643390185439-0,entity:artifact:1:ld1-1643390182193-1643390185439-0
1,ld1-1643390182193-1643390189537-0,entity:artifact:1:ld1-1643390182193-1643390189537-0
1,ld1-1643390182193-1643390186579-1,entity:artifact:1:ld1-1643390182193-1643390186579-1
1,ld1-1643390182193-1643390188776-0,entity:artifact:1:ld1-1643390182193-1643390188776-0
1,ld1-1643390182193-1643390193859-0,entity:artifact:1:ld1-1643390182193-1643390193859-0
1,ld1-1643390182193-1643390189962-0,entity:artifact:1:ld1-1643390182193-1643390189962-0
1,ld1-1643390182193-1643390189958-0,entity:artifact:1:ld1-1643390182193-1643390189958-0
1,ld1-1643390182193-1643390189429-0,entity:artifact:1:ld1-1643390182193-1643390189429-0
1,ld1-1643390182193-1643390185861-1,entity:artifact:1:ld1-1643390182193-1643390185861-1
1,ld1-1643390182193-1643390187789-0,entity:artifact:1:ld1-1643390182193-1643390187789-0
1,ld1-1643390182193-1643390189411-1,entity:artifact:1:ld1-1643390182193-1643390189411-1
1,ld1-1643390182193-1643390189009-1,entity:artifact:1:ld1-1643390182193-1643390189009-1
1,ld1-1643390182193-1643390189439-0,entity:artifact:1:ld1-1643390182193-1643390189439-0
1,ld1-1643390182193-1643390191169-1,entity:artifact:1:ld1-1643390182193-1643390191169-1
1,ld1-1643390182193-1643390185990-0,entity:artifact:1:ld1-1643390182193-1643390185990-0
1,ld1-1643390182193-1643390187740-0,entity:artifact:1:ld1-1643390182193-1643390187740-0
1,ld1-1643390182193-1643390191145-0,entity:artifact:1:ld1-1643390182193-1643390191145-0
1,ld1-1643390182193-1643390188722-1,entity:artifact:1:ld1-1643390182193-1643390188722-1
1,ld1-1643390182193-1643390189346-0,entity:artifact:1:ld1-1643390182193-1643390189346-0
1,ld1-1643390182193-1643390186650-1,entity:artifact:1:ld1-1643390182193-1643390186650-1
1,ld1-1643390182193-1643390189156-0,entity:artifact:1:ld1-1643390182193-1643390189156-0
1,ld1-1643390182193-1643390191203-1,entity:artifact:1:ld1-1643390182193-1643390191203-1
1,ld1-1643390182193-1643390186566-0,entity:artifact:1:ld1-1643390182193-1643390186566-0
1,ld1-1643390182193-1643390189612-0,entity:artifact:1:ld1-1643390182193-1643390189612-0
1,ld1-1643390182193-1643390189668-0,entity:artifact:1:ld1-1643390182193-1643390189668-0
1,ld1-1643390182193-1643390189443-1,entity:artifact:1:ld1-1643390182193-1643390189443-1
1,ld1-1643390182193-1643390190366-0,entity:artifact:1:ld1-1643390182193-1643390190366-0
1,ld1-1643390182193-1643390192898-0,entity:artifact:1:ld1-1643390182193-1643390192898-0
1,ld1-1643390182193-1643390189681-0,entity:artifact:1:ld1-1643390182193-1643390189681-0
1,ld1-1643390182193-1643390190999-0,entity:artifact:1:ld1-1643390182193-1643390190999-0
1,ld1-1643390182193-1643390189623-0,entity:artifact:1:ld1-1643390182193-1643390189623-0
1,ld1-1643390182193-1643390190083-0,entity:artifact:1:ld1-1643390182193-1643390190083-0
1,ld1-1643390182193-1643390189959-0,entity:artifact:1:ld1-1643390182193-1643390189959-0
1,ld1-1643390182193-1643390190212-0,entity:artifact:1:ld1-1643390182193-1643390190212-0
1,ld1-1643390182193-1643390186562-0,entity:artifact:1:ld1-1643390182193-1643390186562-0
1,ld1-1643390182193-1643390190274-0,entity:artifact:1:ld1-1643390182193-1643390190274-0
1,ld1-1643390182193-1643390189216-0,entity:artifact:1:ld1-1643390182193-1643390189216-0
1,ld1-1643390182193-1643390189831-0,entity:artifact:1:ld1-1643390182193-1643390189831-0
1,ld1-1643390182193-1643390189277-0,entity:artifact:1:ld1-1643390182193-1643390189277-0
1,ld1-1643390182193-1643390189061-1,entity:artifact:1:ld1-1643390182193-1643390189061-1
1,ld1-1643390182193-1643390185212-0,entity:artifact:1:ld1-1643390182193-1643390185212-0
1,ld1-1643390182193-1643390189007-0,entity:artifact:1:ld1-1643390182193-1643390189007-0
1,ld1-1643390182193-1643390188769-0,entity:artifact:1:ld1-1643390182193-1643390188769-0
1,ld1-1643390182193-1643390186673-0,entity:artifact:1:ld1-1643390182193-1643390186673-0
1,ld1-1643390182193-1643390189972-1,entity:artifact:1:ld1-1643390182193-1643390189972-1
1,ld1-1643390182193-1643390186578-0,entity:artifact:1:ld1-1643390182193-1643390186578-0
1,ld1-1643390182193-1643390188562-0,entity:artifact:1:ld1-1643390182193-1643390188562-0
1,ld1-1643390182193-1643390186675-0,entity:artifact:1:ld1-1643390182193-1643390186675-0
1,ld1-1643390182193-1643390189581-0,entity:artifact:1:ld1-1643390182193-1643390189581-0
1,ld1-1643390182193-1643390186564-1,entity:artifact:1:ld1-1643390182193-1643390186564-1
1,ld1-1643390182193-1643390189301-1,entity:artifact:1:ld1-1643390182193-1643390189301-1
1,ld1-1643390182193-1643390187988-0,entity:artifact:1:ld1-1643390182193-1643390187988-0
1,ld1-1643390182193-1643390189130-1,entity:artifact:1:ld1-1643390182193-1643390189130-1
1,ld1-1643390182193-1643390187768-0,entity:artifact:1:ld1-1643390182193-1643390187768-0
1,ld1-1643390182193-1643390191095-0,entity:artifact:1:ld1-1643390182193-1643390191095-0
1,ld1-1643390182193-1643390189443-0,entity:artifact:1:ld1-1643390182193-1643390189443-0
1,ld1-1643390182193-1643390191097-1,entity:artifact:1:ld1-1643390182193-1643390191097-1
1,ld1-1643390182193-1643390188031-0,entity:artifact:1:ld1-1643390182193-1643390188031-0
1,ld1-1643390182193-1643390189361-1,entity:artifact:1:ld1-1643390182193-1643390189361-1
